"Date","Title","Content","qwen_lora2_情绪提取"
"2019-12-06 19:28:30","方正证券：控股股东所持公司部分股份被司法冻结","方正证券(601901)12月6日晚公告，当日，中国证券登记结算有限公司上海分公司根据甘肃省兰州市中级人民法院民事裁定书，对方正集团所持公司8.49亿股及孽息进行了冻结，冻结起始日为12月6日，冻结期限为三年；对方正集团所持公司2.6亿股(及孽息进行了轮候冻结，冻结期限为三年，自转为正式冻结之日起计算。此次公司控股股东所持部分公司股份被司法冻结事项，不会对公司日常经营、公司治理等产生影响。【延伸阅读】方正集团20亿债务违约 公司称正在积极筹款12月2日，北大方正集团在上海清算所官网发布《北大方正集团有限公司2019年度第二期超短期融资券未能按期足额偿付本息的公告》，称公司2019年度第二期超短期融资券(19方正SCP002)应于2019年12月2日兑付本息，截至到期兑付日终，公司未能按照约定筹措足额偿付资金。根据公告，这笔超短期融资券的债券发行总额是20亿元，本计息期债券利率为4.94%，债券期限是270天。北大方正集团表示，因流动资金紧张，截至2019年12月2日终，公司未能按照约定筹措足额偿付资金，“19方正SCP002”不能按期足额偿付本息。公司正在通过各种途径积极筹措资金，并加强自身经营，努力保障本期超短期融资券的本息偿付。此外，公司也将全力配合主承销商和债券持有人相关诉求召开持有人会议，商讨本期超短期融资券违约的后续偿债措施。","该文本情感是中性的。"
"2019-12-05 20:54:23","方正证券：LCD市场长周期供需拐点已经显现","方正证券计算机&科技小组在12月5日晚间发布的研报中提出了面板产业投资的三个重要观点。一是国产厂商对韩国厂商在LCD领域的全面替代将是确定性趋势。二是LCD市场长周期供需拐点已经显现。三是2020年起，国产OLED将驱动板块内公司长足成长。方正证券认为，首先，TFT-LCD泛半导体属性决定了其产业发展规律是基于“王氏定律”，它与半导体的“摩尔定律”本质原理是共通的，即技术、生产效率的成长曲线，带动下游的应用渗透，以及需求总量提升。一旦企业脱离产业成长规律，必将面临技术或成本优势的丧失，进而逐步失去市场竞争力。历史上LCD的每一轮产业转移，都是因为先行者缺乏对产业的持续投入导致的。摩尔定律是指，集成电路上可容纳的元器件数目每隔18个月便会增加一倍，性能也将提升一倍或者价格下降一倍。王氏定律是指若保持价格不变，显示产品性能每36个月须提升一倍。但王氏定律的周期正被缩短。其次，从LCD自身的产业周期来看，每一轮行业见底的标志都表现为龙头厂商经营性亏损，行业出现普遍性亏损，最终倒逼落后产能的退出，从而迎来新一轮的成长周期。2019年第三季度行业见底信号再一次显现，并且此轮低谷已经倒逼在行业内领先达二十年的韩国厂商，战略重心转向OLED电视面板等差异化市场，主动关退其最高世代线的产能。这意味着韩国厂商在LCD产能的全面出清已拉开序幕。第三，柔性OLED是驱动面板厂商由LCD的周期属性转向成长属性的核心业务。这种成长性表现为本身显示技术的持续升级、下游应用市场的拓宽、国产厂商份额的长足成长等三个方面。行业的高壁垒也带来较强的产业议价能力，是能够驱动面板“戴维斯双击”(业绩和估值同时提高)的核心业务。预计2020年开始，国产龙头厂商OLED出货量会进一步提升，导入更多国际顶尖客户，以及盈利拐点出现。","以上文本情感极性属于积极。"
"2019-12-05 18:39:25","方正证券：11月份实现净利润2965.67万元","方正证券(601901)12月5日盘后发布2019年11月财务数据简报称，11月份方正证券股份有限公司母公司实现营业收入2.68亿元，实现净利润2965.67万元。","该文本情感是积极的。"
"2019-12-05 18:12:01","瑞信方正：11月净利润亏损48.81万元","方正证券(601901)12月5日盘后发布2019年11月财务数据简报称，11月份控股子公司瑞信方正证券有限责任公司(简称“瑞信方正”)实现营业收入1404.10万元，净利润亏损48.81万元。","该文本情感是消极的。"
"2019-12-03 21:47:08","方正集团拟引入央企作为战略投资人 尚未定合作方及交易方案","12月3日，北大方正集团有限公司(简称：方正集团)旗下上市公司方正证券(601901)、中国高科(600730)等发布公告，对方正集团“正引入大型央企为战略投资人”做出回应。方正证券的公告称，有媒体报道称，方正证券股份有限公司控股股东北大方正集团有限公司的控股股东北大资产经营有限公司(简称“北大资产”)拟为方正集团引入大型央企为战略投资人。经公司向方正集团书面函证：尚未最终确定战略合作方及具体交易方案，后续能否顺利推进存在重大不确定性。敬请广大投资者注意投资风险。方正集团的回函称：经向我司控股股东北大资产了解，按照中央关于高校所属企业体制改革的相关部署，北大资产拟为方正集团引入大型央企作为战略投资人。北大资产正就此事与各方紧密沟通，目前尚未最终确定战略合作方及具体交易方案，后续能否顺利推进存在重大不确定性。一旦最终确定，方正集团实际控制人将可能发生变化。方正证券表示，公司将持续关注该事项的进展情况，及时履行信息披露义务。北大方正集团有限公司官网资料显示，方正集团是北京大学于1986年投资创办的大型国有控股企业集团。王选院士是方正集团的技术奠基人，其发明的“汉字信息处理与激光照排系统”奠定了方正集团的起家之业。官网资料称，方正集团以IT产业的不断深耕和发展为基础，逐步形成了IT、医疗、产业金融、产城融合等业务协同发展的产业格局，旗下拥有方正科技、方正控股、北大医药、北大资源、方正证券、中国高科等6家上市公司。此前一天，方正集团在上海清算所官网发布《北大方正集团有限公司2019年度第二期超短期融资券未能按期足额偿付本息的公告》，披露公司2019年度第二期超短期融资券(19方正SCP002)应于2019年12月2日兑付本息，截至到期兑付日终，公司未能按照约定筹措足额偿付资金。根据公告，这笔超短期融资券的债券发行总额是20亿元，本计息期债券利率为4.94%，债券期限是270天。方正集团表示，因流动资金紧张，截至2019年12月2日终，公司未能按照约定筹措足额偿付资金，“19方正SCP002”不能按期足额偿付本息。公司正在通过各种途径积极筹措资金，并加强自身经营，努力保障本期超短期融资券的本息偿付。10月31日出炉的三季度财务报告显示，方正集团在2019年1-9月份实现营业收入917.69亿元，相比2018年同期的953.55亿元下滑3.76%；归属于母公司股东的净利润为-31.93亿元，相比2018年同期6239.12万元的亏损额，亏损放大了50倍。根据合并资产负债表中披露的负债规模，截至9月30日，方正集团的非流动负债中，应付债券872.37亿元，非流动负债合计1122.22亿元，流动负债合计1907.30亿元，负债合计3029.51亿元。","情感倾向是消极。"
"2019-12-03 19:33:30","方正证券：方正集团尚未最终确定战略合作方及具体交易方案","方正证券(601901)12月3日晚公告，有媒体报道称公司控股股东方正集团的控股股东北大资产拟为方正集团引入大型央企为战略投资人。经公司向方正集团书面函证：尚未最终确定战略合作方及具体交易方案，后续能否顺利推进存在重大不确定性。","该文本情感是中性的。"
"2019-11-20 19:10:31","方正证券：虚假陈述纠纷1310件 计提预计负债8011万","11月20日，方正证券发布公告称公司新收到长沙中院送达的52件投资者起诉案件，涉案金额为962万，具体诉讼情况如下：2017年5月，方正证券因未依法披露控股股东与其他股东的关联关系而受到中国证监会的行政处罚。部分买入公司股票的投资者主张前述事项对其造成了损失，以证券虚假陈述责任纠纷为由，对方正证券、方正集团等提起诉讼。方正证券近日新收到长沙中院送达的52件投资者起诉案件，要求方正证券、方正集团等承担责任的金额合计为964万元。目前，上述案件尚未收到开庭通知。截至目前，公司涉及证券虚假陈述责任纠纷案件共计 1310 件，其中前期方正证券已公告涉及的 1258 件案件，长沙中院均已作出处理。湖南高院已对部分上诉案件作出二审终审判决，部分案件仍在上诉处理过程中。对于发生法律效力的案件，方正证券将按照生效法律文书履行相关责任。方正证券表示，公司此前对该类诉讼事项已计提预计负债 7849.49万，后续根据实际履行责任情况以及赔付情况冲减了部分预计负债；新增的52起诉讼案件，公司已计提预计负债 160.85万，预计减少公司第四季度净利润 120.64万。公司当前对该类诉讼事项累计计提预计负债3928.46万，公司各项业务经营情况正常，本次公告的诉讼对公司业务经营、财务状况及偿债能力无重大影响。公司将持续关注相关案件进展情况，依照法律法规的规定，及时履行信息披露义务。","该文本情感是中性的。"
"2019-10-30 15:45:18","方正证券股份有限公司 第三届董事会第三十一次会议决议公告","证券代码：601901 证券简称：方正证券公告编号：2019-095本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带责任。方正证券股份有限公司(以下简称 “公司”)第三届董事会第三十一次会议于2019年10月29日以现场、视频加电话方式召开。现场会议设在北京市西城区丰盛胡同28号太平洋保险大厦11层会议室。本次会议的通知和会议资料于2019年10月18日以电子邮件方式发出。本次会议由董事长施华先生召集和主持，应出席董事9名，实际出席董事9名(施华先生、廖航女士因工作原因以视频方式参会，高利先生现场参会，何亚刚先生、汪辉文先生、胡滨先生、叶林先生、李明高先生、吕文栋先生因工作原因以电话方式参会)，公司两名监事、董事会秘书及部分高级管理人员列席了会议，监事曾毅先生已被暂停职务未列席会议。本次会议的召集、召开程序符合《公司法》、公司《章程》的有关规定。经审议，本次会议形成如下决议：一、审议通过了《方正证券股份有限公司2019年第三季度报告》董事会同意公司编制的《方正证券股份有限公司2019年第三季度报告》。公司《2019年第三季度报告正文》与本公告同日刊登在《中国证券报》《上海证券报》《证券时报》《证券日报》。公司《2019年第三季度报告》全文与本公告同日刊登在上海证券交易所网站(http://www.sse.com.cn)。表决结果：赞成9票，反对0票，弃权0票。二、审议通过了《关于确认2019年第三季度计提预期信用损失的议案》董事会对公司2019年第三季度计提预期信用损失予以确认，具体内容详见公司《2019年第三季度报告》。独立董事发表意见如下：公司董事会在审议本次计提预期信用损失时，决策程序符合有关法律法规和公司《章程》的规定；本次计提预期信用损失是基于谨慎性原则，符合《企业会计准则第22号——金融工具确认和计量》和公司会计政策的规定，有助于真实公允地反映公司的财务状况和经营成果，不存在损害公司及全体股东特别是中小股东利益的情况。因此，我们同意确认本次计提预期信用损失。表决结果：赞成9票，反对0票，弃权0票。特此公告。方正证券股份有限公司董事会2019年10月30日","该文本情感是积极的。"
"2019-10-18 21:19:26","方正证券前三季度实现净利10.75亿元 同比增136.48%","方正证券今日发布公告称，2019年前三个季度公司实现营收49.67亿元，同比增33.95%；实现净利10.75亿元，同比增136.48%。方正证券表示，2019年1月至9月，股市行情回暖，公司经纪业务和自营业务收益大幅增长，公司营业收入、归属于上市公司股东的净利润等同比增长较多。目前，公司各项业务平稳发展，资产结构良好，流动性较强，各项风险控制指标符合《证券公司风险控制指标管理办法》的要求。","该文本情感是积极的。"
"2019-10-18 15:55:49","方正证券：前三季度净利10.75亿元 同比增136%","方正证券(601901)10月18日晚间披露业绩快报，公司2019年前三季度实现营业收入49.67亿元，同比增长33.95%；净利润10.75亿元，同比增长136.48%。每股收益0.13元。","以上文本情感是积极的。"
"2019-10-17 11:20:59","刚刚18年金融老兵辞职！带领券商资管激增2000多亿 还当过一线公募总经理！","又见券商高管离职。10月16日晚间，方正证券公告称，因个人原因，吴姚东申请辞去公司执行委员会委员、副总裁职务。另一方面，今年以来，券商高管频频换将。据基金君不完全统计，年内已经至少有10名券商高管离职，分别分布在光大证券、广发证券、山西证券等8个券商。而仅仅进入10月，7个工作日里，就已经有2家券商的高管离职。方正证券副总裁吴姚东辞职10月16日晚间，方正证券公告称，公司董事会于10月15日收到吴姚东先生的书面辞职报告。因个人原因，吴姚东申请辞去公司执行委员会委员、副总裁职务，并将不再担任公司其他任何职务。对于吴姚东的离职，方正证券表示，其是出于个人职业发展的需要，对于吴姚东在公司任职期间的表现，方正证券给予较高评价，称其任职期间恪尽职守、勤勉尽责，为方正证券资管业务市场竞争力的提升做出了巨大贡献。值得注意的是，基金君从方正证券去年年报里发现，吴姚东担任公司执行委员会委员、副总裁两大职务的任期都是今年11月23日止，而距离任期结束也仅只剩1个多月的时间。不过，据基金君多方打听了解，吴姚东离职后的下一站已确定，很可能近期正式公布。说起吴姚东，其拥有18年证券基金相关行业经验，可谓金融行业的老兵，在资管行业具有深刻广泛的影响力。公开资料显示，吴姚东1969 年 1 月出生，博士。2001 年 8 月至 2004 年 5 月任国通证券(香港)有限公司研究部研究员；2004 年 5 月至 2008 年 5 月历任招商证券股份有限公司武汉营业部总经理、国际业务部董事总经理，2008 年 5 月至 2013 年 4 月任招商证券股份有限公司总裁助理、总裁办公室董事总经理。2013 年 4 月至 2015 年 5 月任博时基金管理有限公司总裁；","该文本情感是中性的。"
"2019-10-17 09:05:20","方正证券股份有限公司关于高级管理人员辞职的公告"," 证券代码：601901 证券简称：方正证券公告编号：2019-092方正证券股份有限公司关于高级管理人员辞职的公告本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带责任。方正证券股份有限公司(以下简称“公司”)董事会于2019年10月15日收到高级管理人员吴姚东先生的书面辞职报告。因个人原因，吴姚东先生申请辞去公司执行委员会委员、副总裁职务，并将不再担任公司其他任何职务。吴姚东先生的辞职报告自送达董事会之日起生效。吴姚东先生在公司任职期间恪尽职守、勤勉尽责，公司及董事会对吴姚东先生为公司所做的贡献表示衷心感谢。特此公告。方正证券股份有限公司董事会2019年10月17日","该文本情感是中性的。"
"2019-10-16 20:32:02","方正证券委员会委员吴姚东辞职 年薪为351.5万元","10月16日，方正证券股份有限公司(601901)董事会于2019年10月15日收到高级管理人员吴姚东的书面辞职报告。因个人原因，吴姚东申请辞去公司执行委员会委员、副总裁职务，并将不再担任公司其他任何职务。吴姚东任执行委员会委员，最新一期披露的年薪为351.5万元。最新财报显示，方正证券股份有限公司2019年上半年营业总收入为35.88亿，同比增长55.17%；归属净利润为7.63亿，同比增长270.9%。方正证券股份有限公司(以下简称“方正证券”或“公司”)是中国首批综合类证券公司，上海证券交易所、深圳证券交易所首批会员，于2010年改制为股份有限公司，并于2011年在上海证券交易所上市(股票代码：601901)。根据南都大数据库信息显示：吴姚东，1969年1月出生，博士。2001年8月至2004年5月任国通证券(香港)有限公司研究部研究员；2004年5月至2008年5月历任招商证券股份有限公司武汉营业部总经理、国际业务部董事总经理，2008年5月至2013年4月任招商证券股份有限公司总裁助理、总裁办公室董事总经理；2013年4月至2015年5月任博时基金管理有限公司总裁；2015年5月至7月任招商证券股份有限公司总裁助理；2015年7月至今任公司副总裁，2015年10月至今任公司执行委员会委员，2015年10月至2018年7月兼任方正证券资产管理分公司总经理，2018年4月至今兼任公司国际业务部行政负责人；2016年10月至今任方正香港金控董事；2017年3月至今任中国民族证券副总裁。","该文本情感是中性的。"
"2019-10-16 18:36:59","方正证券副总裁吴姚东辞职","方正证券(601901.SH)今日发布关于高级管理人员辞职的公告。公告称，公司执行委员会委员、副总裁吴姚东辞职。根据公告，公司董事会于2019年10月15日收到高级管理人员吴姚东的书面辞职报告。因个人原因，吴姚东申请辞去公司执行委员会委员、副总裁职务，并将不再担任公司其他任何职务。吴姚东的辞职报告自送达董事会之日起生效。据中国经济网上市公司人事库资料显示，吴姚东，1969年1月出生，博士。2001年8月至2004年5月任国通证券(香港)有限公司研究部研究员；2004年5月至2008年5月历任招商证券股份有限公司武汉营业部总经理、国际业务部董事总经理，2008年5月至2013年4月任招商证券股份有限公司总裁助理、总裁办公室董事总经理；2013年4月至2015年5月任博时基金管理有限公司总裁；2015年5月至7月任招商证券股份有限公司总裁助理；2015年7月至今任公司副总裁，2015年10月至今任公司执行委员会委员，2015年10月至2018年7月兼任方正证券资产管理分公司总经理，2018年4月至今兼任公司国际业务部行政负责人；2016年10月至今任方正香港金控董事；2017年3月至今任中国民族证券副总裁。","情感倾向是中性。"
"2019-10-14 17:31:04","方正证券：母公司9月份净利润1.42亿元","方正证券(601901)10月14日晚间公告，方正证券母公司9月份净利润为1.42亿元，8月份净利润为7995.16万元。","该文本情感是积极的。"
"2019-09-21 04:49:15","方正证券股份有限公司第三届监事会第十八次会议决议公告","证券代码：601901 证券简称：方正证券公告编号：2019-083方正证券股份有限公司第三届监事会第十八次会议决议公告本公司监事会及全体监事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带责任。2019年9月19日，方正证券股份有限公司(以下简称“公司”)在北京市海淀区苏家坨镇车耳营村97号观舍西山会议室召开了第三届监事会第十八次会议。本次会议的通知和会议资料于2019年9月12日以电子邮件方式发出。本次会议由监事会主席雍苹女士召集和主持，应出席监事3名，实际出席监事2名，曾毅先生已被暂停监事职务未出席会议，董事会秘书列席了会议。本次会议的召集、召开程序符合《公司法》、公司《章程》的有关规定。经审议，本次会议形成如下决议：审议通过了《关于公开征集第四届监事会监事候选人(非职工代表监事)的议案》为公平对待全体股东，监事会同意通过公告方式向全体股东公开征集第四届监事会2名监事候选人(非职工代表监事)。具体内容详见与本公告同日刊登在《中国证券报》《上海证券报》《证券时报》《证券日报》和上海证券交易所网站(http://www.se.com.cn)上的《关于公开征集第四届监事会监事候选人(非职工代表监事)的公告》。表决结果：赞成2票，反对0票，弃权0票。特此公告。方正证券股份有限公司监事会2019年9月21日","以上文本情感是中性的。"
